distance,time,width,amplitude,serie,Date
6.1,1.8384600000000002,7.944063720799932,49.04726966754471,A,7.08.23
6.4,1.8503166666666668,8.208332144728047,38.93604910707817,A,7.08.23
5.4,1.8892366666666667,5.712110621432657,63.93648199221218,A,7.08.23
5.7,1.8966683333333334,5.673497708412469,56.97222255688414,A,7.08.23
5.2,1.9187716666666668,6.120152147123008,55.985437605671635,A,7.08.23
5.1,1.924345,5.641203067767492,59.953548098659276,A,7.08.23
4.7,1.9359533333333334,5.9696282855875324,51.35573020259321,A,7.08.23
4.2,1.94775,5.723439961569966,56.13919132259916,A,7.08.23
4.4,1.9519783333333334,5.922376442642417,36.22524149662113,A,7.08.23
3.4,1.9611716666666668,5.5970177673734725,35.86320937655761,A,7.08.23
4.2,1.9612283333333336,12.207619661741774,47.55698436296153,A,7.08.23
4.2,1.9844716666666669,5.246153334097471,49.843103213474684,A,7.08.23
4.5,1.9900733333333336,6.25765247362142,64.3638908708559,A,7.08.23
4.3,2.007585,4.657779321991256,34.556866780731866,A,7.08.23
3.7,2.0254,4.752525318079279,25.896524350318888,A,7.08.23
4.2,2.0275133333333333,6.401664575940231,40.221483563788546,A,7.08.23
4.1,2.041401666666667,5.2844756713020615,41.981335192827025,A,7.08.23
4.0,2.0455316666666667,6.126555262220791,49.30510697660692,A,7.08.23
4.3,2.048985,6.392792856277083,37.20361118159601,A,7.08.23
4.3,2.0532283333333337,5.815743214276154,58.94837522853659,A,7.08.23
4.0,2.0652850000000003,5.232138820312684,53.11530440735772,A,7.08.23
4.3,2.0683116666666668,5.718270063720411,59.591973548423965,A,7.08.23
4.2,2.071486666666667,5.99600403450313,48.07229708870837,A,7.08.23
4.2,2.08514,5.5893379668705165,57.980913675055454,A,7.08.23
4.3,2.106778333333333,7.004218629706884,32.805848947704355,A,7.08.23
4.1,2.11622,4.886250073759584,47.909938350851455,A,7.08.23
4.3,2.1171183333333334,5.703200446645496,36.329764701324095,A,7.08.23
4.3,2.119185,5.187181241461076,61.90050715126114,A,7.08.23
4.3,2.132616666666667,6.193626603519078,48.55294533516538,A,7.08.23
4.5,2.1348866666666666,5.322649830457522,57.81944671184167,A,7.08.23
4.4,2.144886666666667,5.174629018554697,37.01180265052725,A,7.08.23
4.0,2.1466800000000004,5.827030755812302,45.71822015964354,A,7.08.23
4.5,2.147946666666667,6.173968027898809,38.065186546303714,A,7.08.23
