Time - Plot 0	Amplitude - Plot 0
0	15
1	0
2	9
3	3
4	9
5	6
6	8
7	15
8	21
9	9
10	12
11	6
12	5
13	6
14	21
15	9
16	3
17	6
18	0
19	9
20	3
21	9
22	6
23	9
24	6
25	14
26	6
27	12
28	12
29	12
30	15
31	6
32	11
33	3
34	17
35	22
36	24
37	6
38	15
39	13
40	8
41	15
42	12
43	5
44	20
45	6
46	23
47	14
48	3
49	6
50	11
51	22
52	3
53	3
54	12
55	18
56	3
57	11
58	6
59	15
60	17
61	15
62	17
63	26
64	23
65	2
66	6
67	11
68	9
69	12
70	15
71	15
72	9
73	15
74	12
75	9
76	9
77	12
78	6
79	3
80	3
81	6
82	6
83	14
84	6
85	11
86	11
87	9
88	0
89	3
90	9
91	9
92	3
93	3
94	0
95	9
96	3
97	0
98	0
99	12
100	3
101	0
102	3
103	6
104	5
105	3
106	9
107	0
108	9
109	6
110	0
111	6
112	6
113	2
114	0
115	6
116	6
117	0
118	3
119	6
120	5
121	3
122	0
123	3
124	0
125	9
126	5
127	0
128	0
129	10
130	6
131	6
132	6
133	0
134	0
135	11
136	9
137	9
138	0
139	6
140	3
141	6
142	0
143	3
144	9
145	3
146	9
147	6
148	9
149	0
150	9
151	9
152	0
153	2
154	12
155	0
156	5
157	0
158	3
159	3
160	3
161	0
162	6
163	13
164	3
165	3
166	3
167	2
168	6
169	3
170	0
171	6
172	6
173	3
174	15
175	14
176	9
177	3
178	0
179	3
180	0
181	9
182	6
183	3
184	6
185	0
186	3
187	2
188	6
189	3
190	3
191	3
192	3
193	12
194	3
195	6
196	2
197	6
198	0
199	6
200	3
201	2
202	3
203	0
204	0
205	0
206	6
207	3
208	5
209	6
210	9
211	3
212	3
213	6
214	0
215	6
216	6
217	6
218	3
219	6
220	0
221	0
222	3
223	9
224	0
225	0
226	0
227	3
228	3
229	0
230	4
231	12
232	6
233	5
234	11
235	3
236	0
237	12
238	0
239	6
240	3
241	6
242	0
243	3
244	6
245	0
246	9
247	0
248	3
249	8
250	3
251	18
252	0
253	3
254	9
255	3
256	3
257	0
258	6
259	3
260	2
261	3
262	3
263	3
264	0
265	8
266	0
267	0
268	6
269	6
270	3
271	9
272	8
273	0
274	0
275	0
276	6
277	3
278	6
279	3
280	0
281	3
282	5
283	6
284	3
285	12
286	9
287	3
288	2
289	11
290	6
291	0
292	3
293	9
294	9
295	3
296	8
297	6
298	6
299	3
300	6
301	5
302	9
303	0
304	6
305	8
306	0
307	2
308	6
309	0
310	0
311	0
312	3
313	6
314	0
315	6
316	0
317	6
318	6
319	6
320	3
321	3
322	0
323	6
324	3
325	0
326	9
327	0
328	0
329	3
330	6
331	3
332	11
333	0
334	6
335	3
336	0
337	6
338	0
339	3
340	6
341	5
342	3
343	9
344	6
345	3
346	2
347	6
348	6
349	0
350	3
351	3
352	6
353	3
354	3
355	3
356	0
357	3
358	9
359	9
360	5
361	0
362	5
363	0
364	3
365	9
366	3
367	3
368	0
369	3
370	0
371	3
372	0
373	3
374	0
375	3
376	6
377	8
378	3
379	0
380	6
381	17
382	3
383	9
384	6
385	3
386	6
387	3
388	3
389	6
390	3
391	0
392	6
393	6
394	0
395	3
396	9
397	5
398	6
399	6
400	0
401	3
402	3
403	0
404	6
405	3
406	2
407	9
408	9
409	3
410	6
411	3
412	6
413	3
414	0
415	0
416	0
417	12
418	0
419	0
420	6
421	9
422	11
423	15
424	6
425	2
426	8
427	9
428	0
429	20
430	6
431	0
432	3
433	3
434	3
435	0
436	9
437	6
438	0
439	6
440	0
441	3
442	0
443	6
444	3
445	6
446	3
447	0
448	0
449	6
450	0
451	6
452	0
453	3
454	0
455	11
456	0
457	0
458	6
459	3
460	9
461	0
462	6
463	0
464	9
465	6
466	3
467	3
468	3
469	9
470	3
471	5
472	3
473	3
474	0
475	0
476	0
477	6
478	6
479	6
480	0
481	6
482	3
483	5
484	3
485	6
486	8
487	15
488	3
489	9
490	9
491	0
492	6
493	6
494	9
495	6
496	3
497	3
498	0
499	3
500	3
501	3
502	6
503	6
504	3
505	6
506	3
507	11
508	5
509	9
510	6
511	3
512	0
513	3
514	3
515	0
516	0
517	3
518	2
519	0
520	9
521	3
522	5
523	11
524	9
525	15
526	15
527	0
528	6
529	9
530	6
531	3
532	8
533	3
534	3
535	6
536	6
537	3
538	6
539	3
540	3
541	3
542	0
543	0
544	8
545	9
546	11
547	3
548	6
549	0
550	5
551	0
552	6
553	0
554	15
555	0
556	3
557	0
558	3
559	12
560	11
561	15
562	8
563	3
564	8
565	17
566	15
567	3
568	6
569	6
570	5
571	9
572	9
573	0
574	2
575	14
576	6
577	3
578	9
579	12
580	3
581	3
582	15
583	3
584	3
585	17
586	6
587	3
588	9
589	11
590	3
591	15
592	9
593	17
594	9
595	6
596	2
597	9
598	0
599	12
600	8
601	3
602	3
603	0
604	6
605	6
606	3
607	5
608	0
609	5
610	3
611	6
612	6
613	3
614	5
615	2
616	4
617	3
618	2
619	12
620	15
621	0
622	9
623	18
624	3
625	12
626	6
627	9
628	5
629	15
630	6
631	6
632	3
633	0
634	5
635	12
636	9
637	15
638	3
639	8
640	6
641	6
642	12
643	6
644	6
645	12
646	9
647	3
648	11
649	0
650	2
651	0
652	0
653	6
654	3
655	3
656	9
657	9
658	6
659	12
660	6
661	6
662	5
663	12
664	15
665	0
666	9
667	0
668	3
669	0
670	3
671	6
672	6
673	9
674	3
675	3
676	3
677	0
678	6
679	3
680	0
681	3
682	3
683	3
684	3
685	6
686	3
687	5
688	0
689	6
690	8
691	0
692	3
693	3
694	0
695	3
696	8
697	6
698	9
699	0
700	3
701	3
702	5
703	6
704	3
705	12
706	3
707	5
708	3
709	3
710	3
711	0
712	8
713	3
714	0
715	0
716	11
717	3
718	3
719	3
720	5
721	9
722	6
723	6
724	0
725	11
726	12
727	3
728	6
729	0
730	9
731	0
732	3
733	0
734	0
735	6
736	3
737	3
738	5
739	3
740	3
741	0
742	9
743	9
744	14
745	0
746	9
747	3
748	0
749	6
750	6
751	3
752	9
753	3
754	3
755	5
756	3
757	6
758	8
759	3
760	6
761	18
762	2
763	9
764	0
765	6
766	3
767	6
768	6
769	2
770	5
771	15
772	5
773	6
774	6
775	5
776	3
777	5
778	3
779	6
780	3
781	3
782	6
783	6
784	9
785	0
786	3
787	3
788	6
789	6
790	0
791	3
792	0
793	6
794	6
795	0
796	8
797	6
798	15
799	0
800	3
801	6
802	3
803	0
804	3
805	0
806	9
807	5
808	3
809	3
810	6
811	6
812	6
813	3
814	6
815	3
816	9
817	9
818	9
819	6
820	3
821	0
822	6
823	3
824	0
825	3
826	0
827	6
828	0
829	0
830	6
831	5
832	0
833	3
834	0
835	2
836	3
837	0
838	6
839	3
840	2
841	3
842	9
843	3
844	3
845	3
846	8
847	0
848	3
849	9
850	3
851	0
852	0
853	0
854	6
855	9
856	9
857	12
858	0
859	3
860	3
861	9
862	3
863	3
864	3
865	0
866	0
867	9
868	0
869	5
870	9
871	0
872	6
873	18
874	3
875	0
876	5
877	0
878	3
879	3
880	6
881	0
882	0
883	4
884	8
885	11
886	6
887	9
888	3
889	6
890	0
891	0
892	0
893	3
894	6
895	11
896	0
897	6
898	0
899	8
900	3
901	6
902	0
903	3
904	0
905	3
906	0
907	6
908	0
909	12
910	5
911	0
912	0
913	0
914	6
915	3
916	5
917	0
918	3
919	3
920	6
921	5
922	5
923	9
924	9
925	20
926	0
927	3
928	6
929	9
930	3
931	3
932	0
933	0
934	8
935	0
936	9
937	0
938	6
939	0
940	0
941	3
942	0
943	0
944	3
945	6
946	12
947	6
948	3
949	6
950	0
951	3
952	6
953	5
954	3
955	5
956	0
957	3
958	3
959	5
960	3
961	2
962	2
963	6
964	6
965	3
966	3
967	9
968	6
969	0
970	6
971	18
972	3
973	3
974	0
975	9
976	6
977	0
978	0
979	3
980	0
981	3
982	0
983	9
984	3
985	3
986	0
987	6
988	6
989	9
990	3
991	3
992	3
993	0
994	6
995	6
996	3
997	3
998	6
999	12
1000	3
1001	12
1002	3
1003	6
1004	6
1005	3
1006	3
1007	3
1008	6
1009	3
1010	0
1011	3
1012	6
1013	0
1014	3
1015	5
1016	5
1017	0
1018	6
1019	0
1020	0
1021	6
1022	0
1023	0
1024	3
1025	6
1026	0
1027	0
1028	6
1029	3
1030	3
1031	12
1032	3
1033	17
1034	6
1035	0
1036	0
1037	6
1038	3
1039	5
1040	9
1041	0
1042	6
1043	5
1044	3
1045	5
1046	6
1047	8
1048	6
1049	9
1050	3
1051	0
1052	6
1053	6
1054	9
1055	0
1056	0
1057	0
1058	0
1059	0
1060	3
1061	6
1062	3
1063	12
1064	3
1065	9
1066	3
1067	3
1068	2
1069	6
1070	0
1071	0
1072	9
1073	6
1074	6
1075	3
1076	6
1077	3
1078	3
1079	0
1080	0
1081	6
1082	12
1083	3
1084	3
1085	6
1086	3
1087	3
1088	9
1089	9
1090	9
1091	12
1092	11
1093	6
1094	9
1095	3
1096	6
1097	9
1098	5
1099	0
1100	6
1101	3
1102	9
1103	3
1104	6
1105	0
1106	3
1107	7
1108	5
1109	9
1110	3
1111	3
1112	9
1113	6
1114	0
1115	5
1116	3
1117	6
1118	0
1119	6
1120	2
1121	6
1122	0
1123	12
1124	6
1125	3
1126	6
1127	0
1128	0
1129	0
1130	0
1131	8
1132	9
1133	0
1134	6
1135	0
1136	3
1137	12
1138	6
1139	5
1140	3
1141	12
1142	13
1143	6
1144	8
1145	6
1146	3
1147	2
1148	3
1149	15
1150	9
1151	6
1152	6
1153	0
1154	2
1155	0
1156	15
1157	9
1158	9
1159	3
1160	3
1161	0
1162	0
1163	0
1164	2
1165	15
1166	0
1167	0
1168	0
1169	3
1170	3
1171	0
1172	0
1173	9
1174	3
1175	3
1176	3
1177	6
1178	6
1179	3
1180	6
1181	11
1182	0
1183	6
1184	3
1185	6
1186	3
1187	6
1188	3
1189	3
1190	6
1191	0
1192	0
1193	2
1194	6
1195	0
1196	0
1197	6
1198	6
1199	0
1200	0
1201	7
1202	0
1203	0
1204	12
1205	6
1206	0
1207	3
1208	6
1209	6
1210	3
1211	9
1212	14
1213	0
1214	3
1215	6
1216	6
1217	9
1218	2
1219	9
1220	6
1221	9
1222	12
1223	6
1224	3
